AIRPORT,ELEV,ATIS,CLNC DEL,GND CONT,TOWER,APC CONT
KNGP,19',290.9/127.9 (1),314.3 (2),257.85 /118.7 (3),340.2/134.85 (4),348.725/120.9 (6)
KCRP,46',126.8 (31),118.55 (32),269.15/121.9 (33),257.8/119.4 (34),348.725/120.9 (6)
KVCT,115',119.025 (41),-,239.25/120.525 (43),257.95/126.075 (44),135.05 (22)
KMFE,107',128.5,-,121.8,256.9/118.5,377.2/165.55
KHRL,36',124.85,-,121.7,317.6/119.3,279.5/120.7
KALI,178',119.225,-,-,123.0 (C),290.45/119.9 (45)
KRKP,24',119.275 (1),-,-,123.05 (21),233.7/132.825 (8)
KCLL,321',126.85,120.4/128.7,284.7/128.7,284.7/118.5,360.85/134.3
KSAT,809',118.9,126.7,348.6/121.9,257.8/119.8,307.0/125.1
KAUS,542',124.4,263.0/125.5,348.6/121.9,281.5/121.0,317.65/127.225*
KPKV,32',118.275,-,-,122.8 (C),135.05 (22)
KROW,3671',306.2/128.45 (91),132.875/282.25 (92),348.6/121.9 (93),233.7/118.5 (94),239.0/119.6 (95)
KATS,3545',126.725 (35),-,-,235.825/123.075(36),239.0/119.6 (95)
KHOB,3661',119.75 (45),-,121.9 (46),120.65 (47), 298.95/133.1
KLBB,3282',270.275/125.3,281.55/125.8,348.6/121.9,239.3/120.5,351.8/119.2
KPVW,3374',119.675,118.4,-,123.0 (C),351.8/119.2
KSJT,1919',319.0/128.45,-,348.6/121.9,284.7/118.3, 354.1/125.35
KCVS,4295',269.9/119.1,293.225/120.2,275.8/121.9,270.25/120.4,352.1/118.425
KABI,1791',118.25,-,348.6/121.7,257.8/120.1,282.3/127.2
KSSF,578',128.8,121.7,379.9/121.7,379.9/118.7,290.225/125.7
KHYI,595',120.825, 121.35, 120.125, 126.825, 370.85/119.0
KDWH,152',128.375,119.45,239.0/121.8,354.1/118.4,281.4/119.7
KEFD,33',269.9/135.575,-,275.8/121.6,126.05/253.5,284.0/134.45
T69,48',118.25,-,-,122.8 (C),348.725/120.9 (6)
TX2,184',118.675 (KBEA),-,-,122.8 (C),322.5/134.6
KCWF,17',120.0,-,275.8/121.65,290.4/124.2,282.3/119.8
KGPT,28',119.45,-,348.6/120.4,339.8/123.7,254.25/127.5
KHSA,23',118.375,-,229.4/121.725,229.4/127.15,354.1/124.6
KLCH,15',118.75,126.25,121.8,257.8/120.7,353.75/119.35
KPNS,121',121.25,256.875/123.725,348.6/121.9,257.8/119.9,269.375/119.0
KMOB,219',257.85/124.75,119.85,348.6/121.9,239.0/118.3,269.3/118.5
KLIT,266',125.65,118.95,339.8/121.9,257.8/118.7,353.6/135.4
KBGG,1302',124.625,118.4,118.4,128.15,126.35
KFSM, 469',124.775,278.3/133.85,275.8/121.9,323.175/118.3,343.75/120.9
KPIL, 19', 118.525,119.2,-,122.8 (C),257.6/119.5
